Band Name,Genre,Country,Band Website,BA URL,Description,Video URL,Image
VARGRAV,BLACK METAL,Finland,https://www.facebook.com/Vargravofficial/,https://www.brutalassault.cz/en/band/vargrav,"						A shady veil of mystery is covering this group and BA 2019 will be only one of the very few appearances of the band in 2019. Their only album, bearing the ominous and apt title of Netherstorm, is a blizzard-blown blast from the ancient past, when """,www.youtube.com/embed/9twUf6nmG9g,https://charon.brutalassault.cz/content//images/artist-image/artist-159-1540995525_thumb.jpeg
VED BUENS ENDE,TRUE AVANT GARDE METAL,Norway,http://brokenamp.com/ved-buens-ende-written-waters-retrospective-review/,https://www.brutalassault.cz/en/band/ved-buens-ende,"VED BUENS ENDE was a Norwegian avant-garde metal band. Their sound is diverse with quiet instrumental jazz influenced sections and aggressive black metal blast beats and vocals. Ved Buens Ende means ""By the end of the bow"" referring to the mythological r",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-247-1556784272_thumb.jpeg
VENOM PRISON,DEATH METAL HARDCORE,United Kingdom,https://www.venomprison.com,https://www.brutalassault.cz/en/band/venom-prison,"The cover of VENOM PRISON's debut album, Animus, brings the theme of the album to life in the form of an original Renaissance-style painting by artist Eliran Kantor depicting a man shackled and surrounded by women. Blood drips from between his legs as a ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-185-1544304627_thumb.jpeg
VIOLATOR,THRASH METAL,Brazil,https://violatorthrash.bandcamp.com/,https://www.brutalassault.cz/en/band/violator,"						Coming from the center Brazil, Brasilia, VIOLATOR is one of the most intense South American bands and after years of waiting, they will finally thrash BA! 
",www.youtube.com/embed/DmU3e84nVC0,https://charon.brutalassault.cz/content//images/artist-image/artist-208-1547044874_thumb.jpeg
VIOLENT MAGIC ORCHESTRA,NOISE,Japan,https://throatruinerrecords.com/violent-magic-orchestra,https://www.brutalassault.cz/en/band/violent-magic-orchestra,"VIOLENT MAGIC ORCHESTRA is an art project of complete harmony of techno, black metal, industrial, noise and emit light. Imagine black metal meets Kraftwerk.VIOLENT MAGIC ORCHESTRA is an unique project comprised of dark techno prodigy Paul Régimbeau (Mond",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-233-1550575105_thumb.jpeg
VOIVOD,PROGRESSIVE THRASH,Canada,http://www.voivod.com,https://www.brutalassault.cz/en/band/voivod,"The only predictable thing about Canadian cosmic-metal warriors VOIVOD is that they will forever be unpredictable. On the warpath for more than 35 years, VOIVOD have pushed their sound relentlessly forward, constructing imaginative musical realms with ea",www.youtube.com/embed/hCuSHngMy-g,https://charon.brutalassault.cz/content//images/artist-image/artist-209-1547044992_thumb.jpeg
VULVODYNIA,SLAMMING DEATH METAL,South Africa,https://www.facebook.com/pg/vulvodyniaslam/,https://www.brutalassault.cz/en/band/vulvodynia,"VULVODYNIA from South Africa is one of the most active and well known bands in the genre today. Successful previous releases, massive media support and playing numerous shows has really brought the band to another level. Their brutal yet catchy, pit fuel",www.youtube.com/embed/13i8lYlYxXg,https://charon.brutalassault.cz/content//images/artist-image/artist-213-1548253758_thumb.jpeg
VUUR,PROGRESSIVE METAL,Netherlands,http://www.vuur.band,https://www.brutalassault.cz/en/band/vuur,"						Dutch vocalist Anneke van Giersbergen will forever be known as the vocalist for melancholic metallers The Gathering, but since striking out on her own in 2007, she has solidified a solo career, recorded and performed multiple times with Canadian me",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-189-1544307007_thumb.jpeg
WALLS OF JERICHO,HARDCORE METAL,United States,https://www.facebook.com/pg/WallsofJericho/,https://www.brutalassault.cz/en/band/walls-of-jericho,"						Hailing from the US murder capital Detroit, WALLS OF JERICHO are not noteworthy just because they are a metalcore band with a powerful female on vocals. They are also worth remembering because they adeptly balanced old-school hardcore, thrash metal",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-220-1549288425_thumb.jpeg
WINDHAND,STONER DOOM METAL,United States,http://www.windhand.com,https://www.brutalassault.cz/en/band/windhand,"						Virginia's heavy psychedelic quartet WINDHAND presents infectious display of songcraft cloaked in alluring atmosphere, molten fuzz, eerie psychedelia and ethereal vocals. Their latest record Eternal Return is a modern testament to the power of heav",www.youtube.com/embed/iiKXTLLe7VI,https://charon.brutalassault.cz/content//images/artist-image/artist-168-1542292591_thumb.jpeg
WOE UNTO ME,FUNERAL DOOM,Belarus,http://woeuntome.bandcamp.com,https://www.brutalassault.cz/en/band/woe-unto-me,"						The gloomy atmosphere of one of the finest bands from Belarus WOE UNTO ME immerses the listener in a gloomy and depressive atmosphere of versatile doom death metal, while also offering acoustic melancholy, which envelops with the veil of autumn spl",www.youtube.com/embed/5_EWcwRKfdM,https://charon.brutalassault.cz/content//images/artist-image/artist-160-1540995572_thumb.png
WOLFBRIGADE,HARDCORE PUNK CRUST,Sweden,https://wolfbrigadesl.bandcamp.com,https://www.brutalassault.cz/en/band/wolfbrigade,"WOLFBRIGADE have been storming the scene internationally in one form or another since 1995. Then formed as Wolfpack, the outfit unleashed three LP’s and as many EPs of their potent crust-inspired punk in less than five years, instantly making a massively",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-161-1540995852_thumb.jpeg
WORMED,BRUTAL TECHNICAL DEATH METAL,Spain,http://www.wormed.net/,https://www.brutalassault.cz/en/band/wormed,"						When WORMED reach out into the void, the results sounds far more like a dark space opera inhabited by bizarre aliens, genetically and technically evolved meta-humans struggling for power and survival in galactic empires. On their third full-length ",www.youtube.com/embed/4Bqb_b1UOnQ,https://charon.brutalassault.cz/content//images/artist-image/artist-217-1548255728_thumb.jpeg
ZURIAAKE,ATMOSPHERIC BLACK METAL,China,https://www.facebook.com/Zuriaake/,https://www.brutalassault.cz/en/band/zuriaake,"ZURIAAKE, or 葬尸湖 in their own language, which roughly translated means “lake of buried corpses”, an image that accurately reflects both the extreme fury and also the beautifully dark melancholy that lies at the heart of ZURIAAKE‘s music.Hailing from Jina",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-210-1547045146_thumb.jpeg
