Band Name,Genre,Country,Band Website,BA URL,Description,Video URL,Image
EMPEROR,BLACK METAL,Norway,http://www.emperorhorde.com,https://www.brutalassault.cz/en/band/emperor,"						Eventually there comes a time when the hype about a band becomes superfluous, and their status alone speaks volumes. Such is the case with EMPEROR, the black metal gods hailing from Telemark, Norway. EMPEROR has become known as one of the originato",www.youtube.com/embed/Jmlhq5rtFXw,https://charon.brutalassault.cz/content//images/artist-image/artist-198-1545396254_thumb.jpeg
ENSIFERUM,EPIC FOLK METAL,Finland,http://www.ensiferum.com,https://www.brutalassault.cz/en/band/ensiferum,"ENSIFERUM are true greats of folk-inspired melodic death metal and with their latest output Two Paths they once more affirm their place in the pantheons of the genre, so it was about a time they returned to BA!
",www.youtube.com/embed/-2WqQY_xSSM,https://charon.brutalassault.cz/content//images/artist-image/artist-204-1547044367_thumb.jpeg
ESKHATON,PSYCHOTIC DEATH METAL VIOLENCE,Australia,https://www.facebook.com/eskhaton666/,https://www.brutalassault.cz/en/band/eskhaton,"						Australian killing machine ESKHATON returns with third violent assault - The Omegalitheos! This phenomenon exhibits fourteen songs of psychotic Death Metal violence and is to resonate with those, who are eager to receive from Death Metal more than ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-104-1556728587_thumb.jpeg
EXUMER,RAGING THRASH,Germany,http://www.exumer.de,https://www.brutalassault.cz/en/band/exumer,"EXUMER has never been in a rush. The influential German thrash veterans haven’t taken a typical career approach to being a band since they reformed in 2008. Still, Possessed by Fire (1986) and Rising from the Sea (1987) stand as highly-heralded triumphs ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-240-1556780428_thumb.jpeg
EYEHATEGOD,SLUDGE,United States,http://eyehategod.ee,https://www.brutalassault.cz/en/band/eyehategod,"						One of the most influential and heavy bands to come from NOLA, they have noted Black Flag, The Melvins and Black Sabbath as a domineering and significant influence to their sound today. That combined with the sound of Southern Rock, Blues riffs and",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-214-1548254052_thumb.jpeg
FROG LEAP,ROCK N ROLL,Norway,https://www.youtube.com/channel/UC98tcedR6gULv8_b70WJKyw,https://www.brutalassault.cz/en/band/frog-leap,"Music is mainly about fun and the Nordic mage Leo Moracchiolo is gonna bring fun factor to BA with his studio-project-transformed-into-band known on Youtube as FROG LEAP.
",www.youtube.com/embed/TDdlteB4tGk,https://charon.brutalassault.cz/content//images/artist-image/artist-236-1550576075_thumb.jpeg
GET THE SHOT,METAL HARDCORE,Canada,https://www.facebook.com/gettheshothc/,https://www.brutalassault.cz/en/band/get-the-shot,"Hailing straight from Quebec City, Canada, GET THE SHOT was formed in 2009 by a bunch of outcasts who wanted nothing more than a chance to spit their fury at the face of the world. The band plays an unpretentious spirited hardcore tinged with the despera",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-191-1544307793_thumb.jpeg
GODFLESH,INDUSTRIAL METAL,United Kingdom,http://www.godflesh.com/,https://www.brutalassault.cz/en/band/godflesh,"GODFLESH are highly regarded as one of the pioneers of industrial metal; they took industrial to the next level with their fuse of heavy guitars and mixing it with slow drum loops and effects. GODFLESH has influences ranging from initially Swans, Black S",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-190-1544307631_thumb.jpeg
GOROD,MELODIC TECH DEATH,France,https://www.facebook.com/GorodOfficial/,https://www.brutalassault.cz/en/band/gorod,"						Founded at the dawn of the 21st century, GOROD is among the most appreciated progressive death metal bands on the current international metal scene.

Native from Bordeaux, France, GOROD released 5 albums and 2 EP who were, for each one, warmly we",www.youtube.com/embed/WBU1H-9yvmQ,https://charon.brutalassault.cz/content//images/artist-image/artist-205-1547044519_thumb.jpeg
GOST,SYNTHWAVE,United States,https://www.facebook.com/gost1980s/,https://www.brutalassault.cz/en/band/gost,"The mysterious producer known as GosT embodies the character of Baalberith on his propulsive synthwave solo project that is channeling his fascination with the occult, John Carpenter and 80s slasher flicks. As a teenager he played in metal bands, but eve",www.youtube.com/embed/PWzYY4PQcpc,https://charon.brutalassault.cz/content//images/artist-image/artist-216-1548255340_thumb.jpeg
GUTALAX,GOREGRIND,Czech Republic,https://www.facebook.com/GUTALAX-cz-gore-grind--116773548349011/,https://www.brutalassault.cz/en/band/gutalax,"						A premiere laxative goregrind outfit!
",www.youtube.com/embed/dL0Mjm77yG0,https://charon.brutalassault.cz/content//images/artist-image/artist-141-1540988879_thumb.jpeg
HEILUNG,FOLK AMBIENT,International,http://heilung.bandcamp.com,https://www.brutalassault.cz/en/band/heilung,"HEILUNG is sounds from the northern European iron age and viking period. The band uses everything from running water, human bones, reconstructed swords and shields up to ancient frame drums and bronze rings in the songs. 
The lyrics contain original tex",www.youtube.com/embed/h1BsKIP4uYM,https://charon.brutalassault.cz/content//images/artist-image/artist-142-1540990381_thumb.jpeg
HELLHAMMER - TRIUMPH OF DEATH,FIRST WAVE BLACK METAL,Switzerland,https://fischerisdead.blogspot.com,https://www.brutalassault.cz/en/band/hellhammer-triumph-of-death,"A Tribute To HellhammerHELLHAMMER existed for a mere two years, from May 1982 to May 1984. During this time, the band wrote material for three demos, one 12"" EP, and the legendary Death Metal compilation album, along with a number of unrecorded songs.In ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-218-1549286647_thumb.jpeg
HEXIS,HARDCORE POST METAL,Denmark,https://hexisband.bandcamp.com/,https://www.brutalassault.cz/en/band/hexis,"This band comes from the fertile grounds of Copenhagen’s underground; HEXIS combine black metal with hardcore and post-metal elements for almost ten years now.
",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-237-1550576036_thumb.jpeg
HIGHER POWER,HC,United Kingdom,http://higherpowerleeds.bandcamp.com,https://www.brutalassault.cz/en/band/higher-power,"HIGHER POWER brings a unique and fresh sound to the table with influences that range from Crown Of Thornz to the lesser known Merauder demo with Leeway's Eddie Sutton on vocals. Hardcore for the moshers by the moshers!
",www.youtube.com/embed/tvI2hiHhuQc,https://charon.brutalassault.cz/content//images/artist-image/artist-143-1540990510_thumb.jpeg
HYPOCRISY,DEATH METAL,Sweden,http://www.hypocrisy.cc,https://www.brutalassault.cz/en/band/hypocrisy,"HYPOCRISY was formed in Ludvika, Stockholm by guitarist Peter Tägtgren in October 1991. As well as HYPOCRISY, Tägtgren has carved out a considerable and esteemed catalogue of work with other musical concerns such as the industrial solo concept PAIN, LOCK",www.youtube.com/embed/MJsdZ2FR3WM,https://charon.brutalassault.cz/content//images/artist-image/artist-144-1540990691_thumb.jpeg
IMMOLATION,DEATH METAL,United States,http://www.facebook.com/immolation,https://www.brutalassault.cz/en/band/immolation,"IMMOLATION are a cult classic death metal act from Ney York. Countless bands have come and gone, but IMMOLATION has been holding their ground, becoming a household name in the genre and also at Brutal Assault fest. From their unique song structures, thro",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-145-1540990738_thumb.jpeg
INCANTATION,UNHOLY ROTTEN DEATH METAL,United States,https://www.incantation.com,https://www.brutalassault.cz/en/band/incantation,"						We kick off with true death metal legends INCANTATION. These unholy priests are the originators of equally unholy, blasphemous and rotten death metal that has been recently imitated to the proverbial death, but alas no epigons can match these ungod",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-238-1556728404_thumb.jpeg
IRON REAGAN,CROSSOVER THRASH,United States,https://www.facebook.com/IRONREAGAN/,https://www.brutalassault.cz/en/band/iron-reagan,"IRON REAGAN are no strangers to the fine art of crossover thrash. Comprised of veterans Tony Foresta, Phil Hall, Mark Bronzino, Rob Skotis, and Ryan Parrish, between them they fill, or have filled the ranks of Municipal Waste, Cannabis Corpse, Mammoth Gr",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-178-1544299677_thumb.jpeg
JINJER,GROOVE METAL,Ukraine,https://www.facebook.com/JinjerOfficial/,https://www.brutalassault.cz/en/band/jinjer,"JINJER are one of the best metal bands in Ukraine with wide popularity both in the motherland, all around Europe, and even overseas. Their last album King of Everything got incredibly positive feedback from music press all around the world including posi",www.youtube.com/embed/SQNtGoM3FVU,https://charon.brutalassault.cz/content//images/artist-image/artist-146-1540990775_thumb.jpeg
JUNGLE ROT,DEATH THRASH,United States,https://www.facebook.com/igotjunglerot/,https://www.brutalassault.cz/en/band/jungle-rot,"JUNGLE ROT are one of the hardest working bands in the underground scene, they survived numerous lineup changes, kept playing shows and writing new material. Their latest eponymous album is their strongest effort yet. Staying with the formula of memorabl",www.youtube.com/embed/pLJ1sgA1iAE,https://charon.brutalassault.cz/content//images/artist-image/artist-147-1540990817_thumb.jpeg
KRAANIUM,SLAMMING BDM BRUTALITY,Norway,https://www.facebook.com/kraaniumslam/,https://www.brutalassault.cz/en/band/kraanium,"KRAANIUM was formed in 2001 and are one of the original pioneers of the slamming brutality genre. Originally founded in Norway, they have toured and slammed all over Scandinavia, Europe, UK, ASIA, USA and Russia and have performed at many iconic festival",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-239-1556729744_thumb.jpeg
KRISIUN,DEATH METAL,Brazil,http://www.krisiun.com.br,https://www.brutalassault.cz/en/band/krisiun,"						For almost 30 years, the Brazilian death metal power-trio of brothers KRISIUN has been renowned for frenetic blistering death metal of unmistakably KRISIUN blend. The legendary albums like the rabid Black Force Domain (1995), 2000’s constantly blas",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-148-1540991001_thumb.jpeg
LETTERS FROM THE COLONY,PROGRESSIVE METAL,Sweden,https://www.facebook.com/lettersfromthecolony/,https://www.brutalassault.cz/en/band/letters-from-the-colony,"Progressive Swedes LETTERS FROM THE COLONY had proven that they could marry various elements of death metal, metalcore and jazz into a complex hybrid and produce something strangely familiar yet truly original.
",www.youtube.com/embed/IzcwEm355X0,https://charon.brutalassault.cz/content//images/artist-image/artist-206-1547044755_thumb.jpeg
LIONHEART,HC,United States,https://www.facebook.com/lionheartca/,https://www.brutalassault.cz/en/band/lionheart,"						If you lust for straight-forward aggressive new wave hardcore, you should look forward for LIONHEART, who are now obliterating stages and music charts alike with their latest record Welcome to The West Coast Pt. II!

",www.youtube.com/embed/n-YycDggStQ,https://charon.brutalassault.cz/content//images/artist-image/artist-163-1542290998_thumb.jpeg
MANES,AVANT GARDE,Norway,https://manes.no,https://www.brutalassault.cz/en/band/manes,"For anyone searching for quality music and a unique sonic experience, MANES composes classy stellar Avant-Garde music... MANES was formed in Trondheim, Norway, in 1992. Their music has gone through many stages of transformation and mutation up until toda",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-176-1544298033_thumb.jpeg
MEAT SPREADER,OLD SCHOOL GORE GRIND,Poland,https://www.facebook.com/meatspreader/,https://www.brutalassault.cz/en/band/meat-spreader,"						Idea for starting MEAT SPREADER appeared in Spring 2016 when Jaro (ex-Dead Infection) met Arthur (Squash Bowels ). After few beers these two legends of the European gore grind scene agreed that time has come to create a band which in its sound will",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-242-1556782266_thumb.jpeg
MESHUGGAH,TECHNICAL DJENT THRASH,Sweden,http://www.meshuggah.net,https://www.brutalassault.cz/en/band/meshuggah,"						The music of MESHUGGAH is an epitome of their monicker, which is Yiddish word for “insane”. They started as a five-piece band from Umeå, Sweden, already back in 1987. The band’s style has been evolving since day one, but despite constant cancerous-",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-149-1540991329_thumb.jpeg
METAL CHURCH,HEAVY THRASH METAL,United States,https://metalchurchofficial.com,https://www.brutalassault.cz/en/band/metal-church,"						Let's bring a heavy dose of nostalgia! Born out of the West Coast Metal scene of the 80's, METAL CHURCH quickly became one of the standout talents of the genre. the metal congregations will gather again to bow to a heavy metal institution build man",www.youtube.com/embed/nwMIgiD_SCQ,https://charon.brutalassault.cz/content//images/artist-image/artist-170-1543226094_thumb.jpeg
MGŁA,BLACK METAL,Poland,https://www.facebook.com/mglaofficial/,https://www.brutalassault.cz/en/band/mgla,"						Thou shall suffer a new dose of the bleak, dark and disillusioned MGŁA style of black metal.. The band is coming forth with one of the most anticipated new records and a Brutal Assault performance in 2019! One of the tightest live bands of the genr",www.youtube.com/embed/iCAvAOFf0P8,https://charon.brutalassault.cz/content//images/artist-image/artist-164-1542291323_thumb.jpeg
MIDNIGHT,BLACK SPEED METAL,United States,https://www.facebook.com/Midnight-87909491643/,https://www.brutalassault.cz/en/band/midnight,"						The Ohio satanic royalty MIDNIGHT approaches metal from its dirty side and will finally send shockwaves of rock’n’roll violence through the BA crowds, subjugating and dominating all metalheads with lust, filth, and sleaze! Black heavy metal is the ",www.youtube.com/embed/pG0NkesIc-Q,https://charon.brutalassault.cz/content//images/artist-image/artist-165-1542291638_thumb.jpeg
MONSTER MAGNET,PSYCHEDELIC ROCK,United States,http://www.zodiaclung.com,https://www.brutalassault.cz/en/band/monster-magnet,"Retro-rock visionaries MONSTER MAGNET spent much of the 1990s struggling against the prejudices imposed upon image and sound by alternative rock fashion nazis. In fact, it wasn't until that movement's late-'90s decline that the band's dogged persistence ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-224-1549292589_thumb.jpeg
MYRKUR,ATMO BLACK METAL FOLK,United States,http://www.myrkurmusic.com,https://www.brutalassault.cz/en/band/myrkur,"						Following the massive response from the last summer, the forest fairy MYRKUR returns to our festival to conquer the sceptics yet again! The quick succession also serves as a mean of apology for the unfinished show from this year. Since inception, M",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-50-1542291824_thumb.jpeg
NAPALM DEATH,GRIND CORE GODS,United Kingdom,http://www.napalmdeath.org,https://www.brutalassault.cz/en/band/napalm-death,"						Art reflects life. Extreme times demand extreme responses. Silence sucks. Noise is always the answer. And yes, NAPALM DEATH continue to be one of the few bands on this planet that adhere to all these principles and more. For the last three decades,",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-150-1540991397_thumb.jpeg
NECROS CHRISTOS,BLACK DEATH METAL,Germany,https://www.facebook.com/darknessdamnationdeath/,https://www.brutalassault.cz/en/band/necros-christos,NECROS CHRISTOS will commit their final hour with their final album Domedon Doxomedon to a performance cutting a swath of destruction through both the zeitgeist of modern heavy music and the walls of our beloved fortress with their first and last appeara,No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-166-1542292030_thumb.jpeg
NORDJEVEL,BLACK METAL,Norway,https://www.facebook.com/nordjevelofficial/,https://www.brutalassault.cz/en/band/nordjevel,"						A bunch of seasoned veterans with a long list of seminal acts in their CVs (Morbid Angel, Dark Funeral, 1349, Ragnarok and many others), coming to dominate BA with their relentless black metal project NORDJEVEL. Get ready for blast-fire annihilatio",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-231-1550574604_thumb.jpeg
THE OBSESSED,GODFATHERS OF DOOM,United States,https://www.facebook.com/TheObsessedOfficial/,https://www.brutalassault.cz/en/band/the-obsessed,"						Doom Rock pioneers formed already back in 1976 by Scott ""Wino"" Weinrich (of Saint Vitus fame). THE OBSESSED was formed in the late 1970’s in Potomac, Maryland by legendary guitarist Scott “Wino” Wenrich (Saint Vitus/Spirit Caravan). The band spawne",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-197-1544309290_thumb.jpeg
THE OCEAN,PROGRESSIVE METAL,Germany,https://www.facebook.com/theoceancollective/,https://www.brutalassault.cz/en/band/the-ocean,"						Since 2001, the Berlin-based musician collective THE OCEAN have released 7 critically acclaimed studio albums, and a split EP with Japanese post-rock legends MONO. Each of their releases has proven a profoundly immersive experience, with an unrival",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-193-1544308520_thumb.jpeg
OCEANS OF SLUMBER,PROGRESSIVE DARK METAL,United States,http://www.oceansofslumber.com,https://www.brutalassault.cz/en/band/oceans-of-slumber,"						Having weathered the most pernicious of personal storms, OCEANS OF SLUMBER have regrouped and focused their energies on creative endeavours. The result is an album that deserves to propel the band to heavy music’s highest echelons: a work of art th",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-151-1540991497_thumb.jpeg
OF MICE & MEN,AMERICAN METALCORE,United States,http://www.ofmiceandmenofficial.com,https://www.brutalassault.cz/en/band/of-mice-men,"OF MICE & MEN mix strong rock melodies reminiscing the golden era of hard rock with memorable hooks and juvenile energy of these contemporary American stars and you get a helluva strong blend of metalcore fit for festival crowds!

",www.youtube.com/embed/IO-JbFtgeX4,https://charon.brutalassault.cz/content//images/artist-image/artist-167-1542292220_thumb.jpeg
OMNIUM GATHERUM,MELODIC DEATH METAL,Finland,http://www.omniumgatherum.org,https://www.brutalassault.cz/en/band/omnium-gatherum,"Some bands seem to harness the power of magic from the very start. OMNIUM GATHERUM are one such band, but they are only just starting to recognise the enormity of their powers. OMNIUM GATHERUM were formed in 1996 and emerged from a vibrant European metal",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-245-1556783407_thumb.jpeg
PARKWAY DRIVE,METALCORE,Australia,https://parkwaydriverock.com,https://www.brutalassault.cz/en/band/parkway-drive,"Blasting out of Byron Bay, almost as an affront to the serenity of their surrounds, PARKWAY DRIVE quickly established themselves as the most formidable force Australian heavy music had ever seen. A five- piece of astonishing power and understated charism",www.youtube.com/embed/WL_8ZY89dP4,https://charon.brutalassault.cz/content//images/artist-image/artist-229-1550574038_thumb.jpeg
PERFECITIZEN,HYPERBLAST DEATH GRIND,Czech Republic,http://www.perfecitizen.com,https://www.brutalassault.cz/en/band/perfecitizen,"						The premiere blastcore outfit offering some of the best stuff the famed Czech grindcore scene ever spawned. Expect unexpected, psychopatic songs full of limitless energy, rage and insanity!

",www.youtube.com/embed/OVVmXB31EEg,https://charon.brutalassault.cz/content//images/artist-image/artist-152-1542781105_thumb.jpeg
PRIMORDIAL,CELTIC METAL,Ireland,https://www.primordialofficial.com,https://www.brutalassault.cz/en/band/primordial,"2018 marks the twenty-seventh year of PRIMORDIAL's seminal career, and the return with their ninth full-length Exile Amongst The Ruins, they have lost none of their vitality. Once again building upon their signature sound, the follow up to 2014's Where G",www.youtube.com/embed/FpuwbyM5BKc,https://charon.brutalassault.cz/content//images/artist-image/artist-227-1549294137_thumb.jpeg
PRONG,CROSSOVER THRASH METAL,United States,http://prongband.com,https://www.brutalassault.cz/en/band/prong,"PRONG was born on the lower east side of New York City, long before it was sanitized into America’s most prized real estate. The band went onto release 12 studio and 2 live albums in under 30 years and their latest output Zero Days is another monster of ",www.youtube.com/embed/MFNEcsxN5QA,https://charon.brutalassault.cz/content//images/artist-image/artist-179-1544300419_thumb.jpeg
RAISED FIST,HC,Sweden,http://www.raisedfist.com,https://www.brutalassault.cz/en/band/raised-fist,"						Respect. If you want to characterize RAISED FIST – one of Sweden's longest-running yet most vital acts in the hardcore scene – with just one word, respect would be it. Respect is what you have earned when people like Lou Koller of Sick Of It All de",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-153-1540993983_thumb.jpeg
ROTTING CHRIST,MELODIC BLACK METAL,Greece,http://www.rotting-christ.com,https://www.brutalassault.cz/en/band/rotting-christ,"						Mastermind Sakis Tolis creates mystical atmospheres by delving deep into ancient secrets and myths from the Sumerians, Incas, Persians and other cultures and incorporating them into his very own blend of melodic black metal. ROTTING CHRIST skillful",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-154-1540994049_thumb.jpeg
SACRED REICH,THRASH METAL,United States,https://www.facebook.com/sacredreichofficial/,https://www.brutalassault.cz/en/band/sacred-reich,"SACRED REICH is a Phoenix, Arizona based thrash metal band that formed in 1985. Part of the second wave of thrash along with Testament, Death Angel, Destruction and Dark Angel, SACRED REICH has produced a catalog of politically charged aggressive music t",www.youtube.com/embed/lOg4bDlZyAA,https://charon.brutalassault.cz/content//images/artist-image/artist-195-1544308874_thumb.jpeg
SAOR,SYMPHONIC BLACK METAL,United Kingdom,http://www.saormusic.com,https://www.brutalassault.cz/en/band/saor,"						Caledonian folk metal inspired by the Scottish heritage, nature and traditional poetry.

",www.youtube.com/embed/W9bMRTvmvQQ,https://charon.brutalassault.cz/content//images/artist-image/artist-155-1540994684_thumb.jpeg
SHAPE OF DESPAIR,FUNERAL DOOM,Finland,http://www.shapeofdespair.com,https://www.brutalassault.cz/en/band/shape-of-despair,"SHAPE OF DESPAIR has been a forerunner of what is generally (and quite inanely) classified as ”funeral doom” for the last 15 odd years. After the demise of their death metal band in 1995, Jarno Salomaa and Tomi Ullgren decided to create something differe",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-156-1540994750_thumb.png
